Metric,CNN,RNN
Test Accuracy (%),99.05,96.33
Test Loss,0.03565149618829382,0.13536270235925912
Precision (macro),0.990385877425698,0.9631421163916969
Recall (macro),0.9904724532453095,0.962708638445776
F1 Score (macro),0.9904051833500436,0.9628197669906585
Trainable Parameters,421642.0,54538.0
Training Time (s),713.6832931041718,735.7001347541809
Inference Time (s),18.60931968688965,6.440760135650635
